PERMNO,date,DIVAMT,RETX
10104,2020-07-08,,0.006216
10104,2020-07-09,,0.015355
10104,2020-07-10,,-0.002434
10104,2020-07-13,,-0.006621
10104,2020-07-14,0.24000,0.003333
10104,2020-07-15,,-0.010140
10104,2020-07-16,,-0.014129
10104,2020-07-17,,-0.016482
10104,2020-07-20,,0.009107
10104,2020-07-21,,0.009206
10104,2020-07-22,,0.001789
10104,2020-07-23,,-0.004463
10104,2020-07-24,,-0.001973
10104,2020-07-27,,-0.005571
10104,2020-07-28,,0.000181
10104,2020-07-29,,0.006323
10104,2020-07-30,,-0.008079
10104,2020-07-31,,0.003620
10104,2020-08-03,,0.009558
10104,2020-08-04,,0.000357
10104,2020-08-05,,-0.008929
10104,2020-08-06,,-0.003964
10104,2020-08-07,,-0.000904
10104,2020-08-10,,-0.005251
10104,2020-08-11,,-0.012195
10104,2020-08-12,,-0.001843
10104,2020-08-13,,-0.002769
10104,2020-08-14,,0.003332
10104,2020-08-17,,-0.003875
10104,2020-08-18,,0.022041
10104,2020-08-19,,0.018485
10104,2020-08-20,,-0.016726
10104,2020-08-21,,-0.001267
10104,2020-08-24,,0.014858
10104,2020-08-25,,0.001428
10104,2020-08-26,,0.024960
10104,2020-08-27,,-0.005392
10104,2020-08-28,,0.012242
10104,2020-08-31,,-0.011403
10104,2020-09-01,,0.007690
10104,2020-09-02,,0.023760
10104,2020-09-03,,-0.032695
10104,2020-09-04,,-0.023993
10104,2020-09-08,,-0.007357
10104,2020-09-09,,0.029465
10104,2020-09-10,,0.006673
10104,2020-09-11,,-0.005756
10104,2020-09-14,,0.043158
10104,2020-09-15,,0.024891
10104,2020-09-16,,-0.008369
10104,2020-09-17,,-0.004137
10104,2020-09-18,,-0.007145
10104,2020-09-21,,0.017908
10104,2020-09-22,,-0.003288
10104,2020-09-23,,-0.027384
10104,2020-09-24,,0.005767
10104,2020-09-25,,0.008432
10104,2020-09-28,,-0.003679
10104,2020-09-29,,-0.001846
10104,2020-09-30,,0.003867
10104,2020-10-01,,-0.000335
10104,2020-10-02,,-0.014243
10104,2020-10-05,,0.012409
10104,2020-10-06,,-0.000840
10104,2020-10-07,0.24000,0.018148
10104,2020-10-08,,0.004951
10104,2020-10-09,,0.004270
10104,2020-10-12,,0.005069
10104,2020-10-13,,-0.007973
10104,2020-10-14,,-0.000164
10104,2020-10-15,,-0.007218
10104,2020-10-16,,-0.003800
10104,2020-10-19,,-0.011113
10104,2020-10-20,,0.002180
10104,2020-10-21,,-0.001339
10104,2020-10-22,,0.000335
10104,2020-10-23,,0.003518
10104,2020-10-26,,-0.040234
10104,2020-10-27,,-0.007132
10104,2020-10-28,,-0.026104
10104,2020-10-29,,0.007735
10104,2020-10-30,,0.001607
10104,2020-11-02,,0.006060
10104,2020-11-03,,0.006200
10104,2020-11-04,,-0.005458
10104,2020-11-05,,0.003009
10104,2020-11-06,,0.002471
10104,2020-11-09,,0.000704
10104,2020-11-10,,-0.002991
10104,2020-11-11,,0.009352
10104,2020-11-12,,-0.013112
10104,2020-11-13,,0.008149
10104,2020-11-16,,0.004217
10104,2020-11-17,,-0.000525
10104,2020-11-18,,-0.015231
10104,2020-11-19,,0.003556
10104,2020-11-20,,-0.013286
10104,2020-11-23,,0.006822
10104,2020-11-24,,0.026569
10104,2020-11-25,,-0.002779
10104,2020-11-27,,0.006096
10104,2020-11-30,,-0.000692
10104,2020-12-01,,0.017672
10104,2020-12-02,,0.005788
10104,2020-12-03,,0.003216
10104,2020-12-04,,0.011642
10104,2020-12-07,,-0.002668
10104,2020-12-08,,-0.012876
10104,2020-12-09,,0.011858
10104,2020-12-10,,-0.004186
10104,2020-12-11,,0.018998
10104,2020-12-14,,0.002475
10104,2020-12-15,,0.018104
10104,2020-12-16,,0.014872
10104,2020-12-17,,0.013221
10104,2020-12-18,,0.022795
10104,2020-12-21,,-0.008915
10104,2020-12-22,,0.010391
10104,2020-12-23,,0.002302
10104,2020-12-24,,-0.005207
10104,2020-12-28,,-0.001385
10104,2020-12-29,,-0.006320
10104,2020-12-30,,-0.000931
10104,2020-12-31,,0.004503
10104,2021-01-04,,-0.014531
10104,2021-01-05,,-0.012392
10104,2021-01-06,0.24000,-0.006194
10104,2021-01-07,,0.007991
10104,2021-01-08,,0.004915
10104,2021-01-11,,-0.005522
10104,2021-01-12,,-0.009678
10104,2021-01-13,,-0.005767
10104,2021-01-14,,-0.007412
10104,2021-01-15,,0.002922
10104,2021-01-19,,-0.007931
10104,2021-01-20,,0.004405
10104,2021-01-21,,-0.005686
10104,2021-01-22,,-0.013887
10104,2021-01-25,,0.008946
10104,2021-01-26,,0.014778
10104,2021-01-27,,0.012136
10104,2021-01-28,,-0.021263
10104,2021-01-29,,-0.012904
10104,2021-02-01,,0.017872
10104,2021-02-02,,0.013981
10104,2021-02-03,,-0.003207
10104,2021-02-04,,0.018980
10104,2021-02-05,,0.003946
10104,2021-02-08,,-0.007704
10104,2021-02-09,,0.008873
10104,2021-02-10,,-0.006282
10104,2021-02-11,,-0.009009
10104,2021-02-12,,0.006061
10104,2021-02-16,,-0.014902
10104,2021-02-17,,-0.000805
10104,2021-02-18,,-0.000322
10104,2021-02-19,,-0.015144
10104,2021-02-22,,0.054310
10104,2021-02-23,,0.000776
10104,2021-02-24,,0.003101
10104,2021-02-25,,0.009274
10104,2021-02-26,,-0.012098
10104,2021-03-01,,0.025732
10104,2021-03-02,,0.007405
10104,2021-03-03,,0.003750
10104,2021-03-04,,-0.019429
10104,2021-03-05,,0.066453
10104,2021-03-08,,0.031299
10104,2021-03-09,,0.006652
10104,2021-03-10,,-0.007159
