Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/01/55	,1.22	,35.60	    ,1.55	,2.83	,1.001011026
01/02/55	,1.17	,36.79	    ,1.55	,2.90	,1.00096981
01/03/55	,1.28	,36.50	    ,1.56	,2.96	,1.00106046
01/04/55	,1.59	,37.76	    ,1.56	,3.05	,1.001315441
01/05/55	,1.45	,37.60	    ,1.57	,3.13	,1.001200377
01/06/55	,1.41	,39.78	    ,1.57	,3.22	,1.001167474
01/07/55	,1.6	,42.69	    ,1.59	,3.29	,1.001323654
01/08/55	,1.9	,42.43	    ,1.60	,3.37	,1.00156971
01/09/55	,2.07	,44.34	    ,1.62	,3.44	,1.001708847
01/10/55	,2.23	,42.11	    ,1.63	,3.50	,1.001839606
01/11/55	,2.24	,44.95	    ,1.63	,3.56	,1.001847772
01/12/55	,2.54	,45.37	    ,1.64	,3.62	,1.002092418
01/01/56	,2.41	,44.15	    ,1.67	,3.64	,1.001986485
01/02/56	,2.32	,44.43	    ,1.70	,3.67	,1.001913075
01/03/56	,2.25	,47.49	    ,1.73	,3.69	,1.001855938
01/04/56	,2.6	,48.05	    ,1.75	,3.66	,1.002141268
01/05/56	,2.61	,46.54	    ,1.78	,3.63	,1.002149407
01/06/56	,2.49	,46.27	    ,1.80	,3.60	,1.002051689
01/07/56	,2.31	,48.78	    ,1.81	,3.55	,1.001904915
01/08/56	,2.6	,48.49	    ,1.83	,3.51	,1.002141268
01/09/56	,2.84	,46.84	    ,1.84	,3.46	,1.002336408
01/10/56	,2.9	,46.24	    ,1.81	,3.44	,1.002385128
01/11/56	,2.99	,45.76	    ,1.77	,3.43	,1.002458159
01/12/56	,3.21	,46.44	    ,1.74	,3.41	,1.002636433
01/01/57	,3.11	,45.43	    ,1.74	,3.41	,1.002555442
01/02/57	,3.1	,43.47	    ,1.73	,3.40	,1.002547339
01/03/57	,3.08	,44.03	    ,1.73	,3.40	,1.002531131
01/04/57	,3.07	,45.05	    ,1.73	,3.41	,1.002523026
01/05/57	,3.06	,46.78	    ,1.73	,3.41	,1.00251492
01/06/57	,3.29	,47.55	    ,1.73	,3.42	,1.002701173
01/07/57	,3.16	,48.51	    ,1.74	,3.44	,1.002595947
01/08/57	,3.37	,45.84	    ,1.75	,3.45	,1.002765868
01/09/57	,3.53	,43.98	    ,1.76	,3.47	,1.002895119
01/10/57	,3.58	,41.24	    ,1.77	,3.44	,1.002935473
01/11/57	,3.31	,40.35	    ,1.78	,3.40	,1.002717351
01/12/57	,3.04	,40.33	    ,1.79	,3.37	,1.002498706
01/01/58	,2.44	,41.12	    ,1.78	,3.29	,1.002010942
01/02/58	,1.53	,41.26	    ,1.78	,3.22	,1.001266145
01/03/58	,1.3	,42.11	    ,1.77	,3.14	,1.001076932
